Date,Close,High,Low,Open,Volume,MA_10,MA_50,Daily_Return,Volatility,Target
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,,,,
2019-02-20,1595.51513671875,1611.3890843675317,1567.642096678416,1595.7234557077459,4645778,1683.2797485351562,1621.7975268554687,0.005223672084352149,0.01502942837625682,0
2019-02-21,1595.056640625,1616.555198905997,1580.766040730918,1595.5149830439473,4683919,1669.8973510742187,1620.438916015625,-0.0002873655556117072,0.013322015849356762,1
2019-02-22,1604.597900390625,1608.222630535486,1587.4740384300032,1597.5566573762374,2271955,1656.794091796875,1618.9917504882812,0.00598176862351818,0.013541689750164579,1
2019-02-25,1654.17724609375,1658.2186128215549,1608.638709573875,1610.3052609435451,2934880,1650.4403442382813,1619.1049145507814,0.030898299001298257,0.018154682977637334,1
2019-02-26,1698.7994384765625,1704.1741287519326,1643.4282988085167,1653.2192900677385,6453309,1648.173828125,1619.991611328125,0.026975460149863295,0.020566776208531264,1
2019-02-27,1714.9649658203125,1729.005540664757,1684.8836287591737,1699.8825928134095,4732082,1648.7154296875,1621.1259545898438,0.009515853948154573,0.020709167968248562,0
2019-02-28,1652.7611083984375,1726.0061849611543,1647.8864645346964,1716.548421748278,8454295,1643.6199584960937,1621.1234790039061,-0.03627121175161807,0.023779831603273564,1
2019-03-01,1662.7186279296875,1670.71805563296,1650.1777858771657,1662.4270017299584,4148548,1640.7618408203125,1621.642783203125,0.006024778463536773,0.02387164903003011,0
2019-03-05,1656.6357421875,1672.384676525334,1647.0530696513558,1670.7181247799176,2449622,1642.2450805664062,1622.2798901367187,-0.0036583975424402393,0.021842987285573233,1
2019-03-06,1666.2186279296875,1679.0510983550603,1654.0945234613546,1657.635946373518,2635047,1650.1445434570312,1624.0773461914061,0.00578454605206935,0.018205459343104437,1
2019-03-07,1677.634521484375,1686.592238003805,1666.7185250953949,1670.7182903681173,2539884,1658.3564819335938,1625.725625,0.006851377942444392,0.01821476925142237,1
2019-03-08,1685.467041015625,1694.049823059298,1674.926182763216,1687.38361618056,2031071,1667.3975219726562,1628.0178125,0.004668787766908711,0.018116592454198124,0
2019-03-11,1678.8843994140625,1694.0499807879219,1669.5933523681072,1690.6335697881243,3111689,1674.826171875,1629.84990234375,-0.003905529708605804,0.01836620362720009,0
2019-03-12,1676.926025390625,1687.217064014379,1669.0516089115667,1678.2593481902156,2658550,1677.1010498046876,1631.857353515625,-0.001166473417777314,0.015917713635127607,0
2019-03-13,1666.9686279296875,1679.8010985958178,1648.7198632962777,1677.384577866764,1833163,1673.91796875,1633.7155346679688,-0.0059378871280968415,0.013237851951329732,0
2019-03-14,1656.0523681640625,1673.0512150627756,1650.719382626669,1670.6762976253444,1905495,1668.026708984375,1635.1932568359375,-0.006548569410800842,0.012673497277973013,1
2019-03-15,1699.8409423828125,1724.0059407940644,1659.0521323035293,1665.6350315247248,5184318,1672.7346923828125,1637.20583984375,0.02644153956755302,0.009799426201908953,0
2019-03-18,1685.55029296875,1720.3812613529813,1675.71759805122,1702.3824230823682,2349915,1675.0178588867188,1639.3209228515625,-0.00840705095267913,0.010329189248109176,0
2019-03-19,1685.55029296875,1691.5498379134642,1662.4684927702212,1691.5498379134642,2373993,1677.9093139648437,1641.8201538085937,0.0,0.010193538616663111,0
2019-03-20,1679.0927734375,1703.8827333885276,1666.5519294808535,1689.8836564935855,3091165,1679.196728515625,1643.84017578125,-0.0038311046298573626,0.01022708310715527,0
2019-03-22,1671.259521484375,1679.8839051178966,1652.6358288918184,1679.0506293713104,3148149,1678.559228515625,1645.7758715820312,-0.0046651692372473574,0.01011986565151804,0
2019-03-25,1653.4273681640625,1673.051052303673,1647.5527335770323,1673.051052303673,2429205,1675.3552612304688,1647.464677734375,-0.010669888841964181,0.010434692097032914,0
2019-03-26,1652.094482421875,1662.3437149543693,1631.5959156386368,1653.2193845425054,2316539,1672.67626953125,1649.1002197265625,-0.0008061350427914782,0.010413489538347158,0
2019-03-27,1639.803466796875,1664.8850480276176,1634.0538434345135,1661.551944828363,2266166,1668.964013671875,1651.2549169921874,-0.007439656603042466,0.010574911159232663,1
2019-03-28,1666.802001953125,1678.7177875682225,1643.8869122491756,1649.8864586843602,4054489,1668.9473510742187,1654.4368408203125,0.016464494497616666,0.011972440137629435,1
2019-04-01,1692.9246826171875,1699.840810249095,1673.4260098987718,1674.8842424481668,2095740,1672.6345825195312,1657.2340551757814,0.0156723357864057,0.012653600189133854,1
2019-04-02,1732.6307373046875,1738.213645526795,1697.3831236520045,1697.466430904016,3719663,1675.9135620117188,1660.7863134765626,0.023454117655202555,0.012040066887509792,0
